ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
95,Kelp Forest,0.30000123,1.4464097,0.1,-1.2,0.1,"OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.ocean.BiomeGenKelpForest
96,Tropics,1.2000009,1.2732048,0.1,0.2,0.3,"WET, JUNGLE, LUSH, OCEAN, RIVER, BEACH",biomesoplenty.common.biome.overworld.sub.BiomeGenTropics
97,Volcano,1.8000011,0.59640974,0.1,2.5,0.5,"HOT, DRY, MOUNTAIN, WASTELAND",biomesoplenty.common.biome.overworld.sub.BiomeGenVolcano
98,Mangrove,0.80000085,1.1732049,0.1,0.0,0.2,"HOT, WET, DRY, LUSH, OCEAN, RIVER, FOREST, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenMangrove
99,Alps Forest,-0.19999939,1.0464097,0.1,0.6,0.8,"COLD, FOREST, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenAlpsForest
100,Islands,1.2152636E-6,1.0464097,0.1,0.1,0.2,"WET, BEACH",Reika.ChromatiCraft.World.Dimension.BiomeGenIslands
101,Skylands,0.20000063,1.0464097,0.1,0.1,0.2,"COLD, MAGICAL",Reika.ChromatiCraft.World.Dimension.BiomeGenSkylands
102,Meadow Forest,0.7000008,0.97320485,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.sub.BiomeGenMeadowForest
103,Oasis,1.2000009,0.27320486,0.1,-0.2,0.0,"HOT, DRY, JUNGLE, LUSH, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenOasis
104,Orchard,0.7000008,0.97320485,0.1,0.1,0.1,"SPARSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenOrchard
105,Quagmire,0.7000013,1.7464098,0.1,0.0,0.1,"WET, SPOOKY, DEAD, SWAMP, WASTELAND",biomesoplenty.common.biome.overworld.sub.BiomeGenQuagmire
106,Scrubland,1.0000012,0.5464097,0.1,0.125,0.05,"HOT, SPARSE, WET, DRY, SAVANNA, OCEAN, RIVER, PLAINS, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenScrubland
107,Silkglades,0.40000126,1.7464098,0.1,0.1,0.2,"SPOOKY, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenSilkglades
108,Spruce Woods,0.7000008,1.0732049,0.1,0.1,0.2,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenSpruceWoods
109,Corrupted Sands,2.8000011,-1.4535903,0.1,0.1,0.2,"SPOOKY, NETHER, SANDY",biomesoplenty.common.biome.nether.BiomeGenCorruptedSands
110,Phantasmagoric Inferno,2.8000011,-1.4535903,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenPhantasmagoricInferno
111,Boneyard,2.8000011,-1.4535903,0.1,0.1,0.2,"SPOOKY, NETHER, WASTELAND",biomesoplenty.common.biome.nether.BiomeGenBoneyard
112,Visceral Heap,2.8000011,-1.4535903,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenVisceralHeap
113,Undergarden,3.0000007,-1.7267952,0.1,0.1,0.2,"JUNGLE, SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenUndergarden
114,Polar Chasm,2.7000008,-1.4535903,0.1,0.1,0.2,"COLD, NETHER, SNOWY",biomesoplenty.common.biome.nether.BiomeGenPolarChasm
115,Spectral Garden,2.0000007,0.27320486,0.1,0.1,0.2,"SPOOKY, LUSH, END, FOREST",biomesoplenty.common.biome.end.BiomeGenSpectralGarden
116,Lush River,0.50000125,1.3464098,0.1,-0.5,0.0,"RIVER, PLAINS",biomesoplenty.common.biome.overworld.tech.BiomeGenLushRiver
117,Dry River,0.80000126,0.24640971,0.1,-0.2,0.0,"HOT, DRY, PLAINS, SANDY",biomesoplenty.common.biome.overworld.tech.BiomeGenDryRiver
118,Canyon,0.80000126,0.5464097,0.1,5.0,0.025,"HOT, SPARSE, DRY, MOUNTAIN, HILLS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenCanyon
119,Glacier,-0.19999939,0.7464097,0.1,1.5,0.025,"COLD, DEAD, HILLS, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenGlacier
120,Chaparral,0.6000013,1.1464097,0.1,0.2,0.3,"SPARSE, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenChaparral
121,Canyon Ravine,0.80000126,0.5464097,0.1,-0.1,0.4,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenCanyonRavine
122,Crystal Plains,0.30000123,1.0464097,0.1,0.1,0.2,"MAGICAL, PLAINS",Reika.ChromatiCraft.World.Dimension.BiomeGenChromaPlains
123,Maple Woods,0.10000061,1.3464098,0.1,0.1,0.3,"COLD, FOREST",biomesoplenty.common.biome.overworld.BiomeGenMapleWoods
124,Desert Oil Field,1.0000012,0.24640971,0.1,0.1,0.2,SANDY,buildcraft.energy.worldgen.BiomeGenOilDesert
125,Ocean Oil Field,0.30000123,1.0464097,0.1,-1.0,0.1,"OCEAN, RIVER",buildcraft.energy.worldgen.BiomeGenOilOcean
129,Sunflower Plains,0.6000013,0.9464097,0.1,0.125,0.05,PLAINS,net.minecraft.world.biome.BiomeGenPlains
130,Desert M,1.0000012,0.24640971,0.1,0.225,0.25,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMutated
131,Extreme Hills M,1.2301648E-6,0.84640974,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
132,Flower Forest,0.50000125,1.3464098,0.1,0.1,0.4,"FOREST, HILLS",net.minecraft.world.biome.BiomeGenForest
133,Taiga M,0.050001226,1.3464098,0.1,0.3,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
134,Swampland M,0.7000013,1.7464098,0.1,-0.1,0.3,"WET, SWAMP",net.minecraft.world.biome.BiomeGenMutated
140,Ice Plains Spikes,-0.19999939,1.0464097,0.1,0.425,0.45000002,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenSnow
146,Storage Cell,-75.25,1.0464097,0.1,0.1,0.2,"COLD, PLAINS",appeng.spatial.BiomeGenStorage
149,Jungle M,0.75000125,1.4464097,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
151,JungleEdge M,0.75000125,1.3464098,0.1,0.2,0.4,"HOT, HILLS",net.minecraft.world.biome.BiomeGenMutated
155,Birch Forest M,0.40000126,1.1464097,0.1,0.2,0.4,HILLS,null
156,Birch Forest Hills M,0.40000126,1.1464097,0.1,0.55,0.5,HILLS,null
157,Roofed Forest M,0.50000125,1.3464098,0.1,0.2,0.4,HILLS,null
158,Cold Taiga M,-0.6249994,0.9464097,0.1,0.3,0.4,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenMutated
160,Mega Spruce Taiga,0.05000062,1.3464098,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
161,Mega Spruce Taiga,0.05000062,1.3464098,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
162,Extreme Hills+ M,1.2301648E-6,0.84640974,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
163,Savanna M,0.80000126,0.64640975,0.1,0.3625,1.225,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
164,Savanna Plateau M,0.70000124,0.64640975,0.1,1.05,1.2125001,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
165,Mesa (Bryce),1.0000012,0.24640971,0.1,0.1,0.2,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
166,Mesa Plateau F M,1.0000012,0.24640971,0.1,0.45,0.3,"HOT, DRY, FOREST, SANDY",net.minecraft.world.biome.BiomeGenMesa
167,Mesa Plateau M,1.0000012,0.24640971,0.1,0.45,0.3,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
168,Twilight Clearing,0.6000013,0.9464097,0.12,0.125,0.05,"SPARSE, PLAINS",twilightforest.biomes.TFBiomeClearing
169,Dark Forest,0.50000125,1.3464098,0.12,0.125,0.05,"DENSE, SPOOKY, FOREST",twilightforest.biomes.TFBiomeDarkForest
170,Dark Forest Center,0.50000125,1.3464098,0.12,0.125,0.05,"DENSE, SPOOKY, MAGICAL, FOREST",twilightforest.biomes.TFBiomeDarkForestCenter
171,Deep Mushroom Forest,0.6000013,1.5464097,0.12,0.125,0.05,"MUSHROOM, FOREST",twilightforest.biomes.TFBiomeDeepMushrooms
172,Enchanted Forest,0.30000123,1.0464097,0.12,0.1,0.2,"MAGICAL, FOREST",twilightforest.biomes.TFBiomeEnchantedForest
173,Fire Swamp,0.9000013,1.2464098,0.12,0.1,0.2,"HOT, SWAMP, WASTELAND",twilightforest.biomes.TFBiomeFireSwamp
174,Twilight Glacier,-0.19999939,0.64640975,0.12,0.1,0.2,"COLD, SNOWY, WASTELAND",twilightforest.biomes.TFBiomeGlacier
175,Twilight Highlands,0.20000122,1.2464097,0.12,3.5,0.05,"CONIFEROUS, FOREST, MOUNTAIN",twilightforest.biomes.TFBiomeHighlands
176,Highlands Center,0.10000124,0.7464097,0.12,10.5,0.025,"DRY, DEAD, MESA, WASTELAND",twilightforest.biomes.TFBiomeFinalPlateau
177,Twilight Lake,0.46000126,1.5464097,0.12,-1.8,0.1,OCEAN,twilightforest.biomes.TFBiomeTwilightLake
178,Firefly Forest,0.50000083,1.2732048,0.12,0.125,0.05,"LUSH, FOREST",twilightforest.biomes.TFBiomeFireflyForest
179,Mushroom Forest,0.6000013,1.3464098,0.12,0.1,0.2,"MUSHROOM, FOREST",twilightforest.biomes.TFBiomeMushrooms
180,Oak Savanna,0.70000124,0.5464097,0.12,0.2,0.2,"SPARSE, FOREST",twilightforest.biomes.TFBiomeOakSavanna
181,Snowy Forest,0.025000611,1.4464097,0.12,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",twilightforest.biomes.TFBiomeSnow
182,Twilight Stream,0.30000123,1.5464097,0.12,-0.5,0.0,RIVER,twilightforest.biomes.TFBiomeStream
183,Twilight Swamp,0.7000013,1.7464098,0.12,-0.125,0.125,"WET, SWAMP",twilightforest.biomes.TFBiomeSwamp
184,Thornlands,0.10000124,0.7464097,0.12,6.0,0.1,"DRY, DEAD, HILLS, WASTELAND",twilightforest.biomes.TFBiomeThornlands
185,Twilight Forest,0.30000123,1.0464097,0.12,0.1,0.2,FOREST,twilightforest.biomes.TFBiomeTwilightForest
186,Dense Twilight Forest,0.50000125,1.3464098,0.12,0.2,0.2,"DENSE, FOREST",twilightforest.biomes.TFBiomeTwilightForestVariant
192,Tainted Land,0.30000123,1.0464097,0.1,0.1,0.2,"MAGICAL, WASTELAND",thaumcraft.common.lib.world.biomes.BiomeGenTaint
193,Magical Forest,0.50000125,1.1464097,0.1,0.2,0.2,"MAGICAL, FOREST",thaumcraft.common.lib.world.biomes.BiomeGenMagicalForest
194,Eerie,0.30000123,1.0464097,0.1,0.1,0.2,"SPOOKY, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEerie
195,Eldritch,1.8407769E-6,-1.4535903,0.1,0.1,0.2,"SPOOKY, END, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEldritch
210,Deimos,0.20000063,0.5464097,0.1,0.1,0.2,"COLD, DRY, DEAD",stevekung.mods.moreplanets.moons.deimos.worldgen.BiomeGenBaseDeimos
211,Phobos,0.20000063,0.5464097,0.1,0.1,0.2,"COLD, DRY, DEAD",stevekung.mods.moreplanets.moons.phobos.worldgen.BiomeGenBasePhobos
220,Diona,0.20000063,0.5464097,0.1,0.1,0.2,"COLD, DRY, DEAD",stevekung.mods.moreplanets.planets.diona.worldgen.BiomeGenBaseDiona
221,Polongnius,0.30000123,0.5464097,0.1,0.1,0.2,"HOT, DENSE, DRY, DEAD",stevekung.mods.moreplanets.planets.polongnius.worldgen.BiomeGenBasePolongnius
